state,zip_code,county,borough,longitude,latitude,entity_name,street_number,street_name
NY,11205,Kings,Brooklyn,-73.9554868,40.69034618,SKILLMART INC,1010,BEDFORD AVE
NY,10469,Bronx,Bronx,-73.85882325,40.865714,ARDENT PHARMACY INC,987-989,ALLERTON AVE
NY,10467,Bronx,Bronx,-73.86483232,40.87125921,BALDE FAMILY GENERAL MERCHANDISING LLC,756,BURKE AVENUE
NY,10467,Bronx,Bronx,-73.87283645,40.87863139,ESTRELLA MEATS FRUITS & GROCERY 2 CORP,350,E GUN HILL RD
NY,11355,Queens,Queens,-73.82831312,40.7549585,HUA-TE NY INC,42-14,MAIN  ST
NY,10452,Bronx,Bronx,-73.92468213,40.84195423,ALEX CANDY STORE CORP,1373A,OGDEN AVE
NY,10026,New York,Manhattan,-73.94873651,40.79787276,LUXURY GREENS LLC,1330,5TH AVE STORE 5
NY,10001,New York,Manhattan,-73.9926754,40.7482307,HUDSON GROUP (HG) RETAIL LLC,NA,MAIN AMTRAK LEVEL B
NY,10001,New York,Manhattan,-73.9926754,40.7482307,HUDSON GROUP (HG) RETAIL LLC,NA,33RD ST & 8TH AVE
NY,10001,New York,Manhattan,-73.9926754,40.7482307,HUDSON GROUP (HG) RETAIL LLC,NA,33RD ST & 8TH AVE
NY,11419,Queens,Queens,-73.8195252,40.6879094,124 LIBERTY LLC,124-16,LIBERTY AVE
NY,11420,Queens,Queens,-73.81523107,40.68209009,SINGHS FISH & GROCERY,125-20,111TH AVE
NY,10462,Bronx,Bronx,-73.86315703,40.84568414,SANAA DISCOUNT INC,778,MORRIS PARK AVE
NY,10033,New York,Manhattan,-73.93599317,40.84400428,CRH RX CORP,174,AUDUBON AVE
NY,10013,New York,Manhattan,-74.00495796,40.72627303,FRAICHE CORP,30,VANDAM ST
NY,10010,New York,Manhattan,-73.98001065,40.73943375,PITKIN SUPER DEALS INC,441,2ND AVE
NY,11229,Kings,Brooklyn,-73.95605836,40.59843606,NEW STAR GROCERY STORE INC,2115,E 15TH STREET
NY,11226,Kings,Brooklyn,-73.95872255,40.65110786,ADAM DELI GROCERY II CORP,863,FLATBUSH AVE
NY,10017,New York,Manhattan,-73.9774131,40.75236837,1923 GCT LLC,89,E 42ND ST
NY,10011,New York,Manhattan,-73.99878929,40.73457951,CW PROJECTS LLC,434,6TH AVENUE STORE # 4
NY,11356,Queens,Queens,-73.83551804,40.78737887,AI MART CP INC,132-19,14TH AVE
NY,11355,Queens,Queens,-73.82773611,40.75456611,YING FU MARKET INC,42-35,MAIN ST #1P4
NY,11220,Kings,Brooklyn,-74.00711521,40.64148908,WONDER 7TH GROCERY INC,5120,7TH AVENUE
NY,10312,Richmond,Staten Island,-74.16883238,40.55965123,ALDI INC,3231,RICHMOND AVE
NY,10455,Bronx,Bronx,-73.90365981,40.81244499,JOSE MINI MARKET INC,549,SOUTHERN BLVD
NY,10303,Richmond,Staten Island,-74.14696106,40.63137237,PURNIMA CONVENIENCE STORE INC,280,MORNING STAR ROAD
NY,10305,Richmond,Staten Island,-74.06711838,40.61718547,NEW NAN FONG HONG TRADING INC,21 & 27,SYLVATON TERRACE
NY,11368,Queens,Queens,-73.86248061,40.74704456,ERIC CONVENIENCE STORE INC,102-06,43RD AVE
NY,11208,Kings,Brooklyn,-73.88277747,40.6737172,YOLANDA GROCERY STORE INC,2428,PITKIN
NY,11238,Kings,Brooklyn,-73.95912463,40.6801993,ZEENA BAKERY LLC,999,ATLANTIC AVE
NY,11215,Kings,Brooklyn,-73.98809056,40.66681676,513 DELI & GRILL INC,513,5TH AVE
NY,10452,Bronx,Bronx,-73.92943433,40.83311828,LA FARMA LLC,1003,OGDEN AVE
NY,11373,Queens,Queens,-73.89004475,40.74624057,G MART NY INC,75-01,BROADWAY
NY,10459,Bronx,Bronx,-73.89222354,40.82082354,CASITA MARIA DELI CORP,1020-1022,EAST 163RD STREET
NY,11375,Queens,Queens,-73.85227271,40.71079761,NEW ARIA CORP,100-27,METROPOLITAN AVENUE
NY,10029,New York,Manhattan,-73.94571593,40.79958803,YUMMILICIOUS DELI #3 CORP,23,E 115TH ST
NY,10305,Richmond,Staten Island,-74.0676603,40.61713051,ATJ ENTERPRISE INC,1077,BAY ST
NY,11362,Queens,Queens,-73.73646892,40.76920267,CLOUD MUNCHIES CORP,251-16,NORTHERN BLVD
NY,10460,Bronx,Bronx,-73.8845759,40.84626216,80 BRONX FINEST MARKET INC,2109,SOUTHERN BLVD
NY,11354,Queens,Queens,-73.82512431,40.76431049,CLOUD GROCERY INC,14118,NORTHERN BLVD
NY,11223,Kings,Brooklyn,-73.96125631,40.59659585,TREE OF LIFE RX INC,2472,CONEY ISLAND AVENUE
NY,10461,Bronx,Bronx,-73.84457737,40.84204074,77 SWIPER DELI CORP,2742,E TREMONT AVE
NY,10475,Bronx,Bronx,-73.83154007,40.86922991,MUNCHIES DELI CORP,500,BAYCHESTER AVE
NY,10466,Bronx,Bronx,-73.85775649,40.89232444,4158 MEAT MARKET INC,4158,WHITE PLAINS RD
NY,10310,Richmond,Staten Island,-74.1095217,40.63012921,A&H PELTON CONVENIENCE CORP,607,FOREST AVE
NY,11374,Queens,Queens,-73.86555438,40.72050552,SAMARKAND UZ INC,62-02A,WOODHAVEN BLVD
NY,10458,Bronx,Bronx,-73.89611442,40.86106158,LA TIA DELI GROCERY INC,253,E 188TH STREET
NY,10022,New York,Manhattan,-73.96708064,40.75851084,METZ CULINARY MANAGEMENT LLC,231,E 55TH ST
NY,11101,Queens,Queens,-73.93949936,40.74868285,EAST ASIAN FOOD CORPORATION,2802,42ND RD
NY,11216,Kings,Brooklyn,-73.93796099,40.68183269,SAJOMA GRILL AND DELI CORP,442,MARCUS GARVEY BLVD
NY,11230,Kings,Brooklyn,-73.96555623,40.63304364,GARCIAS GROCERY NY CORP,1201,FOSTER AVE
NY,11373,Queens,Queens,-73.87422701,40.74224701,SAHUAYO BAKERY CORP,90-43,CORONA AVE
NY,10306,Richmond,Staten Island,-74.11067505,40.57083831,DORP LANE DELI INC,360,NEW DORP LANE
NY,11235,Kings,Brooklyn,-73.96084099,40.58822376,2800 CIA RETAIL CORP,2800,CONEY ISLAND AVENUE
NY,10458,Bronx,Bronx,-73.88390687,40.86696669,FRESH & TASTY SUSHI INC,2870,WEBSTER AVE
NY,10460,Bronx,Bronx,-73.88698066,40.83726687,JIMENEZ AMABLE,931,EAST 174TH STREET
NY,10002,New York,Manhattan,-73.99105993,40.7108883,NY HARVEST TRADING INC,227,CHERRY ST
NY,11222,Kings,Brooklyn,-73.95134169,40.72320236,NICK&SONS BAKERY LLC,892,LORIMER ST
NY,10305,Richmond,Staten Island,-74.09484055,40.58384195,AOK 1139 INC,1854,HYLAN BLVD
NY,10002,New York,Manhattan,-73.98301833,40.71988447,BONNES SAVEURS LLC,196,STANTON ST
NY,11221,Kings,Brooklyn,-73.92660854,40.69878286,MR AVOCADO DELI & GRILL CORPORATION,176,CENTRAL AVE
NY,10462,Bronx,Bronx,-73.86008322,40.84664211,MACCA HALAL MARKET 2 INC,869,MORRIS PARK AVE
NY,11226,Kings,Brooklyn,-73.94988249,40.6522084,BISMILLAH BROOKLYN LLC,1404,NOSTRAND AVE
NY,10002,New York,Manhattan,-73.99019961,40.72188678,MANHATTAN 1 DELI GRILL AND JUICE BAR COR,59,STANTON ST
NY,11238,Kings,Brooklyn,-73.95912463,40.6801993,GERMANN AMY,999,ATLANTIC AVE
NY,11238,Kings,Brooklyn,-73.95912463,40.6801993,RIRONY LLC,999,ATLANTIC AVE
NY,11204,Kings,Brooklyn,-73.98237385,40.61247604,SUN FAR INC,1407,WEST 8TH STREET
NY,11223,Kings,Brooklyn,-73.97265461,40.60411928,PINEAPPLE MINIMARKET CORP,470,KINGS HWY
NY,11237,Kings,Brooklyn,-73.92120297,40.70246017,ABU ALI DELI & GRILL CORPORATION,1537,DEKLAB AVE
NY,11435,Queens,Queens,-73.79950377,40.693313,SUTPHIN BANGLA BAZAR CORP,107-57,SUTPHIN BLVD
NY,10306,Richmond,Staten Island,-74.12739988,40.56486478,GUYON BAGEL DELI & GROCERY INC,99,GUYON AVENUE
NY,10468,Bronx,Bronx,-73.90854847,40.86262258,ALLYSSIA DISCOUNTS CORP,172,W FORDHAM RD
NY,11223,Kings,Brooklyn,-73.97725921,40.59641204,J & B FRUIT MARKET CORP,182,AVENUE U
NY,10454,Bronx,Bronx,-73.91844683,40.80646983,FOOD STOP DELI CORP,545,E 137TH ST
NY,11103,Queens,Queens,-73.90463278,40.76480338,RAPHAEL DELI CORP,48-19,25TH AVE
NY,11375,Queens,Queens,-73.84996886,40.73401079,A&R INTERNATIONAL MARKET LLC,63-37,108TH STREET
NY,10457,Bronx,Bronx,-73.89431684,40.85099131,CARNICERIA EL TORITO CORP,513,EAST 180TH STREET
NY,11208,Kings,Brooklyn,-73.86871239,40.66829834,LINDEN DELI AND GRILL 2 INC,2602,LINDEN BLVD
NY,11212,Kings,Brooklyn,-73.92284473,40.66516837,ALEX DELI GROCERY 2 INC,2,SUTTER AVE
NY,10466,Bronx,Bronx,-73.8504499,40.89852232,WICKHAM MINI MARKET CORP,4400,WICKHAM AVE  STORE A
NY,11377,Queens,Queens,-73.91851967,40.7355821,GAZA DELI & GRILL CORP,50-60,48TH ST
NY,10029,New York,Manhattan,-73.9364292,40.79566626,LETS EAT FOOD COURT LLC,339,E 115TH ST
NY,10474,Bronx,Bronx,-73.88912883,40.81880912,DREAMS 1 99C CORPORATION,874,HUNTS POINT AVE
NY,11220,Kings,Brooklyn,-74.00436201,40.64074393,DAFU GROCERY INC,5024,"8TH AVENUE, 1 FLOOR"
NY,11201,Kings,Brooklyn,-73.98236681,40.68960703,DOLLAR TREE STORES INC,559,FULTON ST
NY,11229,Kings,Brooklyn,-73.95510483,40.5988614,LUCKY 7 BAGEL AND GRILL CORP,1608,AVENUE U
NY,11104,Queens,Queens,-73.92527808,40.7401196,LOVE DELI & GROCERY INC,39-43,48TH AVE
NY,10040,New York,Manhattan,-73.9296298,40.8631625,SANTOS GOURMET DELI AND GROCERY CORP,4672,BROADWAY
NY,11358,Queens,Queens,-73.78978395,40.76669237,BAYSIDE BAGELS INC,33-31,FRANCIS LEWIS BLVD
NY,11208,Kings,Brooklyn,-73.8751134,40.68115668,HOMEMADE TASTY CREATIONS LLC,276,CHESTNUT ST
NY,10044,New York,Manhattan,-73.9495079,40.7626357,579 BREAD AND BUTTER CORP,579,MAIN STREET
NY,11385,Queens,Queens,-73.90183985,40.70481938,SAM SPOLEM FAMILY INC,66-91,FOREST AVE
NY,11377,Queens,Queens,-73.91263406,40.74437627,JS INTERNATIONAL 5127 CORP,51-27,43RD AVE
NY,10463,Bronx,Bronx,-73.90224738,40.87569814,3001 PLAZA LIBRE FOOD CORP,3001,KINGSBRIDGE TERRACE
NY,11229,Kings,Brooklyn,-73.95405751,40.61036611,K & H GRILL CORP,1918,KINGS HWY
NY,10458,Bronx,Bronx,-73.89183387,40.86036504,FRESH & TASTY SUSHI INC,421,E 189TH STREET
NY,10012,New York,Manhattan,-74.00071773,40.72621029,PARTNERS IN CHOCOLATE LLC,456,W BROADWAY
NY,11226,Kings,Brooklyn,-73.9487402,40.64454994,JBD MINI MARKET CORP,1699,NOSTRAND AVE
NY,10467,Bronx,Bronx,-73.86466955,40.87983306,CHULAMEX LLC,3622,WHITE PLAINS ROAD
NY,11412,Queens,Queens,-73.75325653,40.70700874,27 & 7 DELI GROCERY INC,204-19,HOLLIS AVE
