zip,est_mean_income,est_median_income
6390,113454,46250
10001,166167,96787
10002,70204,35607
10003,211756,129981
10004,325028,204949
10005,218441,184681
10006,226459,185268
10007,409624,"250,000+"
10009,108017,68220
10010,214151,139188
10011,210553,136208
10012,180973,110490
10013,294915,130675
10014,217624,136154
10016,181643,124647
10017,184005,130417
10018,187702,136360
10019,177809,101651
10021,237726,130968
10022,257537,138661
10023,226093,137347
10024,267771,137126
10025,176758,99067
10026,109506,64716
10027,95040,57010
10028,225593,131013
10029,71046,33801
10030,77671,45555
10031,81495,55721
10032,75308,53690
10033,85288,66902
10034,78544,63556
10035,58682,28408
10036,139050,97720
10037,69346,50686
10038,155311,95640
10039,60694,41363
10040,72654,53199
10044,150655,112658
10065,264139,153002
10069,232218,130556
10075,241307,123854
10128,206466,117926
10162,147342,96555
10280,251759,170385
10282,393072,"250,000+"
10301,99556,70065
10302,88283,72394
10303,88661,70315
10304,98456,64394
10305,99302,77136
10306,104057,83309
10307,135651,108808
10308,121935,110478
10309,126007,102730
10310,101813,86895
10312,118146,96785
10314,109918,90306
10451,50993,32598
10452,40997,31351
10453,44957,31778
10454,41202,23337
10455,44051,29439
10456,46124,31645
10457,48599,32378
10458,49919,37886
10459,47731,31896
10460,49926,28831
10461,79026,60802
10462,70330,57266
10463,87212,60397
10464,121430,101935
10465,94444,74889
10466,77651,58405
10467,55988,40639
10468,50877,37777
10469,85371,67190
10470,84976,64643
10471,137185,93657
10472,53992,36038
10473,66325,47856
10474,43048,28419
10475,63862,53819
10501,224137,"250,000+"
10502,238206,199904
10504,327734,214414
10505,211354,112143
10506,326962,186000
10507,161886,79471
10509,130893,108372
10510,271732,177143
10511,142140,111313
10512,120572,94985
10514,328379,"250,000+"
10516,151301,113494
10517,113150,97375
10518,235456,139112
10519,160840,158565
10520,157593,113175
10522,196619,145000
10523,130024,103903
10524,148292,121691
10526,273431,193482
10527,197365,196458
10528,207418,125922
10530,141248,99092
10532,144280,116750
10533,238039,163859
10535,159535,142050
10536,246529,183793
10537,107796,99757
10538,291256,193085
