"","healthy_store_market","borough","year","address","latitude","longitude"
"1","Rivas Deli Grocery","Bronx",2013,"651 East 183rd Street",40.852568,-73.887484
"2","C-Town","Bronx",2013,"1761 Southern Boulevard",40.837267,-73.888016
"3","La India Mini Market","Bronx",2013,"1942 Marmion Avenue",40.842942,-73.887136
"4","Los Hermanos","Bronx",2013,"2019 Vyse Avenue",40.842391,-73.881835
"5","Price Choice Food Market","Bronx",2013,"820 East 180th Street",40.846173,-73.884871
"6","D&A Deli Grocery","Bronx",2013,"1155 East Tremont Avenue",40.839889,-73.875193
"7","Lucky Star Gourmet Deli","Bronx",2013,"856 East 188th Street",NA,NA
"8","Food Choice","Bronx",2013,"333 East 184th Street",40.858274,-73.896071
"9","Cache Grocery","Bronx",2013,"804 East 178th Street",40.844534,-73.887046
"10","Associated Supermarket","Bronx",2013,"1334 Louis Nine Boulevard",40.831535,-73.892337
"11","AZ Deli","Bronx",2013,"1093A Southern Boulevard",40.825924,-73.89193
"12","Key Foods","Bronx",2013,"1050 Westchester Boulevard",NA,NA
"13","Pioneer Supermarket","Bronx",2013,"2865 Webester Avenue",NA,NA
"14","Compare Foods","Bronx",2013,"4800 Park Avenue",NA,NA
"15","Met Supermarket","Bronx",2013,"277 198th Street",NA,NA
"16","EEJ Deli","Bronx",2013,"550 East 187th Street",40.856385,-73.889152
"17","Santana","Bronx",2013,"4664 Park Avenue",40.85817,-73.892869
"18","FineFare","Bronx",2013,"1472 Boston Road",40.834235,-73.894884
"19","Deli Grocery","Bronx",2013,"275 East Kingsbridge Road",40.863691,-73.894244
"20","965 Castillo Meat and Produce","Bronx",2013,"965 East 172nd Street",40.833364,-73.887683
"21","Santos","Bronx",2013,"2641 Bainbridge Avenue",40.864814,-73.892048
"22","Alondra Food Corp.","Bronx",2013,"838 East 180th Street",40.8457,-73.883911
"23","Brianelly","Bronx",2013,"2308 Washington Avenue",40.855606,-73.892808
"24","Emerald Food Store","Bronx",2013,"2709-11 Briggs Avenue",40.866359,-73.891673
"25","Bx Supermarket/Compare Foods","Bronx",2013,"312 E. 194th Street",40.864421,-73.891799
"26","1030 Deli & Food Corp","Bronx",2013,"1030 East Tremont Avenue",40.840342,-73.88087
"27","Kelvin Food Mart, Inc","Bronx",2013,"724 East 187th Street",40.853885,-73.883578
"28","Stop One","Bronx",2013,"2431 Hoffman Street",40.856754,-73.887821
"29","A-Mart","Bronx",2013,"2433 Hoffman Street",40.856922,-73.887672
