"","store_name","borough","year","store_address","latitude","longitude","type"
"1","Rivas Deli Grocery","Bronx",2013,"651 East 183rd Street",40.852568,-73.887484,"healthy store"
"2","C-Town","Bronx",2013,"1761 Southern Boulevard",40.837267,-73.888016,"healthy store"
"3","La India Mini Market","Bronx",2013,"1942 Marmion Avenue",40.842942,-73.887136,"healthy store"
"4","Los Hermanos","Bronx",2013,"2019 Vyse Avenue",40.842391,-73.881835,"healthy store"
"5","Price Choice Food Market","Bronx",2013,"820 East 180th Street",40.846173,-73.884871,"healthy store"
"6","D&A Deli Grocery","Bronx",2013,"1155 East Tremont Avenue",40.839889,-73.875193,"healthy store"
"7","Lucky Star Gourmet Deli","Bronx",2013,"856 East 188th Street",NA,NA,"healthy store"
"8","Food Choice","Bronx",2013,"333 East 184th Street",40.858274,-73.896071,"healthy store"
"9","Cache Grocery","Bronx",2013,"804 East 178th Street",40.844534,-73.887046,"healthy store"
"10","Associated Supermarket","Bronx",2013,"1334 Louis Nine Boulevard",40.831535,-73.892337,"healthy store"
"11","AZ Deli","Bronx",2013,"1093A Southern Boulevard",40.825924,-73.89193,"healthy store"
"12","EEJ Deli","Bronx",2013,"550 East 187th Street",40.856385,-73.889152,"healthy store"
"13","Santana","Bronx",2013,"4664 Park Avenue",40.85817,-73.892869,"healthy store"
"14","FineFare","Bronx",2013,"1472 Boston Road",40.834235,-73.894884,"healthy store"
"15","Deli Grocery","Bronx",2013,"275 East Kingsbridge Road",40.863691,-73.894244,"healthy store"
"16","965 Castillo Meat and Produce","Bronx",2013,"965 East 172nd Street",40.833364,-73.887683,"healthy store"
"17","Santos","Bronx",2013,"2641 Bainbridge Avenue",40.864814,-73.892048,"healthy store"
"18","Alondra Food Corp.","Bronx",2013,"838 East 180th Street",40.8457,-73.883911,"healthy store"
"19","Brianelly","Bronx",2013,"2308 Washington Avenue",40.855606,-73.892808,"healthy store"
"20","Emerald Food Store","Bronx",2013,"2709-11 Briggs Avenue",40.866359,-73.891673,"healthy store"
"21","Bx Supermarket/Compare Foods","Bronx",2013,"312 E. 194th Street",40.864421,-73.891799,"healthy store"
"22","1030 Deli & Food Corp","Bronx",2013,"1030 East Tremont Avenue",40.840342,-73.88087,"healthy store"
"23","Kelvin Food Mart, Inc","Bronx",2013,"724 East 187th Street",40.853885,-73.883578,"healthy store"
"24","Stop One","Bronx",2013,"2431 Hoffman Street",40.856754,-73.887821,"healthy store"
"25","A-Mart","Bronx",2013,"2433 Hoffman Street",40.856922,-73.887672,"healthy store"
"26","Modern Food","Bronx",2013,"2385 Arthur Avenue",40.855237,-73.887849,"healthy store"
"27","Mickey & Elvis College","Bronx",2013,"717 East 187th Street",40.854025,-73.883997,"healthy store"
"28","Bronx Zoo Deli Corp","Bronx",2013,"732 East 187th Street",40.85375,-73.883112,"healthy store"
"29","548 Gourmet Deli","Bronx",2013,"548 East 183rd Street",40.854186,-73.891042,"healthy store"
"30","Danery's Grocery Corp.","Bronx",2013,"765 East 175th Street",40.841486,-73.891125,"healthy store"
"31","Will Grocery & Meat Market","Bronx",2013,"1492 Vyse Avenue",40.833029,-73.888186,"healthy store"
"32","A & G Gourmet Deli","Bronx",2013,"2132 Mohegan Avenue",40.84641,-73.882688,"healthy store"
"33","Caña Arriba","Bronx",2013,"1465 Bryant Avenue",40.831953,-73.887823,"healthy store"
"34","885 East Tremont Deli","Bronx",2013,"885 East Tremont Avenue",40.842463,-73.885123,"healthy store"
"35","Tejada Castillo Food Corporation","Bronx",2013,"1675 Boston Road",40.836404,-73.889409,"healthy store"
"36","Tony's Family","Bronx",2013,"526 East 183rd Street",40.854678,-73.891945,"healthy store"
"37","Compare Foods","Bronx",2013,"2477 Valentine Avenue",40.861705,-73.896135,"healthy store"
"38","20/20 Deli","Bronx",2014,"1120 Southern Boulevard",40.827058,-73.891896,"healthy store"
"39","543 Deli","Bronx",2014,"543 Southern Boulevard",40.812296,-73.90361,"healthy store"
"40","908 Garcia Fruit and Grocery","Bronx",2014,"908 East 163rd Street",40.821006,-73.898026,"healthy store"
"41","Alan Deli Grocery","Bronx",2014,"798 East 170th Street",40.833138,-73.89559,"healthy store"
"42","Amelia Grocery","Bronx",2014,"954 Prospect Avenue",40.822611,-73.900391,"healthy store"
"43","Asociados Meat Market","Bronx",2014,"1025 Westchester Avenue",40.824114,-73.893017,"healthy store"
"44","Celia","Bronx",2014,"966 Longwood Avenue",40.817424,-73.898101,"healthy store"
"45","Crystal Grocery","Bronx",2014,"1090 Longfellow Avenue",40.826005,-73.887826,"healthy store"
"46","Deli Farm Meat and Grocery","Bronx",2014,"850 Longwood Avenue",40.819376,-73.901378,"healthy store"
"47","Fair Farm","Bronx",2014,"950 Westchester Avenue",40.822388,-73.896326,"healthy store"
"48","Genao Food Store","Bronx",2014,"926 Intervale Avenue",40.819868,-73.896605,"healthy store"
"49","Home Street Deli","Bronx",2014,"892-894 Home Street",40.828317,-73.89464,"healthy store"
"50","Ivoire African Market","Bronx",2014,"1339 Prospect Avenue",40.829569,-73.897522,"healthy store"
"51","J&W Food Center","Bronx",2014,"990 Leggett Avenue",40.814565,-73.899875,"healthy store"
"52","Los Hermanos Meat & Grocery","Bronx",2014,"501B Jackson Avenue",40.812032,-73.909517,"healthy store"
"53","Luis & Angie Deli Grocery","Bronx",2014,"976 Prospect Avenue",40.823362,-73.900079,"healthy store"
