"healthy_store_market","borough","year","address","longitude","latitude","zip"
"SIRAH 1720 LLC","Brooklyn",2020,"535 MARCY AVE",-73.949512,40.696961,"11206"
"M AND D MINI MARKET","Brooklyn",2020,"613 MARCY AVE",-73.948883,40.693796,"11206"
"FIRST STOP GROCERY INC","Brooklyn",2020,"643 MARCY AVE",-73.948632,40.692552,"11206"
"BC GROCERY CORP","Brooklyn",2020,"305 THROOP AVE",-73.942973,40.69325,"11206"
"TAJUKEN DELI CORP","Brooklyn",2020,"114 MARCUS GARVEY BLVD",-73.940401,40.694772,"11206"
"AANDE DIRECT LLC","Brooklyn",2020,"40 LEWIS AVE",-73.937792,40.696631,"11206"
"CENTRAL ORGANIC","Brooklyn",2020,"67 CENTRAL AVE",-73.930445,40.701096,"11206"
"ALBANITA DELI GROCERY CORP","Brooklyn",2020,"586 BUSHWICK AVE",-73.934973,40.698801,"11206"
"194 THROOP FOOD CORP","Brooklyn",2020,"777 PARK AVE",-73.944311,40.698191,"11206"
"BROADWAY ORGANIC DELI INC","Brooklyn",2020,"799 BROADWAY",-73.940176,40.699745,"11206"
"STAY FRESH GRILL II CORP","Brooklyn",2020,"889 BROADWAY",-73.937095,40.698031,"11206"
"L STOP GOURMET DELI CORP","Brooklyn",2020,"223 MONTROSE AVE",-73.940213,40.707628,"11206"
"7 SEAS GROCERY CORP","Brooklyn",2020,"235 BUSHWICK AVE",-73.93987,40.707908,"11206"
"MLD 91 FOOD CORP","Brooklyn",2020,"91 HUMBOLDT ST",-73.941009,40.704472,"11206"
"JC DELI AND GRILL CORPORATION","Brooklyn",2020,"442 LORIMER ST",-73.948708,40.710105,"11206"
"ROCKY DELI GROCERY INC","Brooklyn",2020,"590 BROADWAY",-73.947242,40.703761,"11206"
"HERMANOS ACOSTA FOOD CORP","Brooklyn",2020,"166 MANHATTAN AVE",-73.945096,40.708517,"11206"
"131 MANHATTAN DELI GROCERY CORP","Brooklyn",2020,"134 MANHATTAN AVE",-73.944905,40.707282,"11206"
"GRAHAM STOP ONE DELI INC","Brooklyn",2020,"146 GRAHAM AVE",-73.943045,40.70643,"11206"
"MR NICE GUY DELI GRILL","Brooklyn",2020,"92 MANHATTAN AVE",-73.944629,40.705465,"11206"
"FAMOUS DELI AND GRILL INC","Brooklyn",2020,"116 GRAHAM AVE",-73.942858,40.705288,"11206"
"BOGOPA MANHATTAN INC","Brooklyn",2020,"21 MANHATTAN AVE",-73.944235,40.702939,"11206"
"LEE HEYWARD GROCERY INC","Brooklyn",2020,"198 LEE AVE",-73.955636,40.701855,"11211"
"574 MARCY DELI CORP","Brooklyn",2020,"574 MARCY AVE",-73.949153,40.695056,"11206"
